cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
higher origin country earnings,the increase in the average number of trips is slightly stronger among high earners,topic_2072,topic_6027,Borrowing Constraints and the Dynamics of Return and Repeat Migration,83017,topic_4154,"
individuals know that the future option to emigrate will be more easily affordable if desired --> A rise in earnings expected in the home country","
individuals know that the future option to emigrate will be more easily affordable if desired --> boosts the value of returning further",[82966],[82969],1,1,['Borrowing Constraints and the Dynamics of Return and Repeat Migration'],TRUE
holiday-related changes in demand are predictable,hospitals may adjust staffing accordingly,topic_4985,topic_4090,"Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes",60513,topic_1566,"
the holiday --> mean daily outcomes","
they are working on a holiday --> hospitals often compensate their staff via extra pay or extra time off",[60134],[59955],1,1,"['Holiday, Just One Day out of Life: Birth Timing and Postnatal Outcomes']",TRUE
increasing the provision of valuable transferable sector-specific skills that are underprovided by employers,Sector-focused training programs,topic_5805,topic_827,Why Do Sectoral Employment Programs Work? Lessons from WorkAdvance,81953,topic_5815,"
weakening the up-front screening criteria --> it might be possible to create pathways for more disadvantaged individuals unable to initially pass the preenrollment screens to progress from youth development programs (such as YouthBuild) or transitional (subsidized) jobs into a sector-focused program","
weakening the up-front screening criteria --> the sectoral training model can be effective",[82248],[82247],1,1,['Why Do Sectoral Employment Programs Work? Lessons from WorkAdvance'],TRUE
Occupational skills training and employment services are likely to be complements with the training improving participants qualifications for high-wage positions and the intermediary services breaking down discriminatory barriers,sectoral employment programs should increase the likelihood that participants obtain jobs in higher-wage sectors (industries and occupations),topic_5805,topic_2395,Why Do Sectoral Employment Programs Work? Lessons from WorkAdvance,81959,topic_3845,"
access to sector programs --> increased the training and employment services received as well as credential or certification attainment beyond the levels of the control group members (who potentially could use alternative providers, such as community colleges and other training programs, for further education and career services)","
Sector-focused programs --> generate persistent earnings gains by moving participants into jobs with higher hourly wages rather than mainly by increasing employment rates",[81869],[81792],1,1,['Why Do Sectoral Employment Programs Work? Lessons from WorkAdvance'],TRUE
behavior learned at the beginning of the parenthood experience tends to stick in later years,paternity leave can distribute household responsibilities more equally and increase time investments in children,topic_4970,topic_3557,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14284,topic_344,"
Paternity leave --> behavior even after the leave period ends through habit persistence in preferences","
paternity leave --> can distribute household responsibilities more equally and increase time investments in children",[14373],[14287],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
people respond to a combination of labels and financial incentives—and that behavior learned at the beginning of the parenthood experience tends to stick in later years,paternity leave can distribute household responsibilities more equally and increase time investments in children,topic_4970,topic_3557,Reserving Time for Daddy: The Consequences of Fathers’ Quotas,14285,topic_344,"
Paternity leave --> behavior even after the leave period ends through habit persistence in preferences","
paternity leave --> can distribute household responsibilities more equally and increase time investments in children",[14373],[14287],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],TRUE
the child supports have lower phaseout rates that begin at higher earnings levels,The combined effect is to encourage work relative to before these programs were implemented,topic_1327,topic_461,How Do the US and Canadian Social Safety Nets Compare for Women and Children?,21553,topic_507,"
an additional year of education --> lower earnings variability","
the year following training completion --> The sector-focused programs evaluated in these four RCTs generate substantial earnings gains (from 14% to 38%)",[3024],[81787],1,1,"['More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle', 'Why Do Sectoral Employment Programs Work? Lessons from WorkAdvance']",FALSE
firm and worker heterogeneity,the search and matching process,topic_6,topic_2861,Opening the Black Box of the Matching Function: The Power of Words,30337,topic_2085,"
job titles --> the degree of frictional wage dispersion may be overestimated if one fails to control for job titles
a negative relation between wages and applications across job titles --> worker heterogeneity","
words in job titles --> play a fundamental role in the initial stages of the search and matching process and are key to understanding labor market outcomes","[30372, 30393]",[30374],2,1,['Opening the Black Box of the Matching Function: The Power of Words'],TRUE
firm and worker heterogeneity,the relationship between posted wages and the number of applicants a vacancy attracts,topic_6,topic_5316,Opening the Black Box of the Matching Function: The Power of Words,30338,topic_2085,"
job titles --> the degree of frictional wage dispersion may be overestimated if one fails to control for job titles
a negative relation between wages and applications across job titles --> worker heterogeneity","
within a job title --> the relationship between wages and the number of applicants becomes positive instead of negative","[30372, 30393]",[30358],2,1,['Opening the Black Box of the Matching Function: The Power of Words'],TRUE
worker heterogeneity that is not captured by SOC fixed effects,the negative relationship between wages and the number of applicants,topic_6,topic_5316,Opening the Black Box of the Matching Function: The Power of Words,30353,topic_2085,"
job titles --> the degree of frictional wage dispersion may be overestimated if one fails to control for job titles
a negative relation between wages and applications across job titles --> worker heterogeneity","
within a job title --> the relationship between wages and the number of applicants becomes positive instead of negative","[30372, 30393]",[30358],2,1,['Opening the Black Box of the Matching Function: The Power of Words'],TRUE
